Training Loss,Epoch,Step,Validation Loss,Mean Iou,Mean Accuracy,Overall Accuracy,Accuracy Background,Accuracy 11,Accuracy 12,Accuracy 13,Accuracy 14,Accuracy 15,Accuracy 16,Accuracy 17,Accuracy 18,Accuracy 21,Accuracy 22,Accuracy 23,Accuracy 24,Accuracy 25,Accuracy 26,Accuracy 27,Accuracy 28,Accuracy 31,Accuracy 32,Accuracy 33,Accuracy 34,Accuracy 35,Accuracy 36,Accuracy 37,Accuracy 38,Accuracy 41,Accuracy 42,Accuracy 43,Accuracy 44,Accuracy 45,Accuracy 46,Accuracy 47,Accuracy 48,Iou Background,Iou 11,Iou 12,Iou 13,Iou 14,Iou 15,Iou 16,Iou 17,Iou 18,Iou 21,Iou 22,Iou 23,Iou 24,Iou 25,Iou 26,Iou 27,Iou 28,Iou 31,Iou 32,Iou 33,Iou 34,Iou 35,Iou 36,Iou 37,Iou 38,Iou 41,Iou 42,Iou 43,Iou 44,Iou 45,Iou 46,Iou 47,Iou 48
0.1042,22,220,0.1637,0.6758,0.7706,0.7839,nan,0.844,0.8257,0.8354,0.7495,0.7759,0.9255,0.8405,0.5792,0.8443,0.8035,0.8293,0.6949,0.8221,0.8176,0.7856,0.5664,0.6291,0.7734,0.8161,0.7754,0.6758,0.7612,0.7892,0.6925,0.6765,0.7656,0.8216,0.7656,0.7414,0.8543,0.8211,0.7612,0,0.7956,0.7843,0.7713,0.6988,0.7373,0.8287,0.738,0.5596,0.7925,0.7543,0.7762,0.6417,0.6676,0.7463,0.6649,0.5328,0.5629,0.6537,0.74,0.6748,0.6041,0.6581,0.695,0.6081,0.5778,0.6579,0.7449,0.6918,0.6812,0.7902,0.7652,0.7059
0.1014,24,240,0.1628,0.6739,0.7704,0.7833,nan,0.8358,0.8065,0.8226,0.7126,0.7269,0.8906,0.8694,0.643,0.8772,0.7933,0.8077,0.6404,0.7989,0.8127,0.776,0.5488,0.7075,0.7579,0.843,0.7868,0.7336,0.7986,0.7866,0.6533,0.6949,0.6935,0.7829,0.797,0.7933,0.8418,0.835,0.7834,0,0.7942,0.7717,0.7501,0.6543,0.7011,0.8332,0.7823,0.6183,0.8028,0.7212,0.7369,0.5974,0.6623,0.7291,0.6472,0.5168,0.6019,0.6628,0.7611,0.6877,0.6428,0.6768,0.6912,0.5835,0.5659,0.5941,0.7315,0.7195,0.7043,0.787,0.7801,0.7295
0.1026,26,260,0.16,0.7036,0.7975,0.8086,nan,0.8306,0.8021,0.8395,0.8163,0.801,0.9308,0.8947,0.7863,0.8411,0.7763,0.8088,0.6931,0.81,0.8361,0.8549,0.6659,0.6646,0.7211,0.8081,0.7935,0.7318,0.7776,0.823,0.729,0.6925,0.7631,0.8611,0.8405,0.7458,0.8987,0.8776,0.8035,0,0.7789,0.7732,0.7981,0.7548,0.7578,0.871,0.8372,0.7335,0.7657,0.7307,0.7706,0.6434,0.682,0.7926,0.7346,0.6132,0.5936,0.6512,0.746,0.6843,0.6222,0.6729,0.7212,0.6212,0.5839,0.6754,0.8011,0.7558,0.6898,0.8159,0.8071,0.7388
0.084,28,280,0.1555,0.6998,0.7893,0.7998,nan,0.8122,0.7962,0.8345,0.7668,0.7207,0.8815,0.9032,0.7212,0.8329,0.7968,0.8244,0.7527,0.8032,0.8308,0.8524,0.7154,0.6876,0.7525,0.8473,0.8036,0.7202,0.7676,0.8123,0.7076,0.6789,0.7105,0.8426,0.8048,0.8069,0.8447,0.849,0.7757,0,0.7794,0.7652,0.7627,0.6891,0.6996,0.8404,0.8134,0.6859,0.78,0.7435,0.7758,0.6849,0.7065,0.7928,0.747,0.6594,0.6171,0.6737,0.7581,0.6921,0.6345,0.6805,0.7251,0.6076,0.5847,0.6444,0.7949,0.7383,0.7164,0.7882,0.7837,0.7271
0.0833,30,300,0.1561,0.6956,0.7859,0.797,nan,0.8366,0.8484,0.874,0.7845,0.726,0.9071,0.8607,0.7272,0.8362,0.8175,0.8326,0.7091,0.7824,0.8454,0.8095,0.605,0.6899,0.7374,0.824,0.7946,0.7254,0.7469,0.7926,0.7184,0.667,0.7099,0.8738,0.8384,0.7947,0.8672,0.8294,0.7376,0,0.7987,0.8188,0.794,0.7065,0.7027,0.8353,0.795,0.6931,0.785,0.7667,0.768,0.6546,0.6978,0.7799,0.6885,0.5668,0.6143,0.666,0.7517,0.6993,0.6363,0.6589,0.7118,0.6149,0.5743,0.6468,0.8047,0.7501,0.7138,0.7978,0.7651,0.6976
0.0824,32,320,0.1543,0.7109,0.796,0.806,nan,0.8509,0.8384,0.8601,0.7927,0.8072,0.866,0.8671,0.7814,0.8639,0.834,0.8483,0.7068,0.7814,0.8166,0.8125,0.7173,0.6564,0.7617,0.8475,0.7745,0.7266,0.7506,0.8202,0.6921,0.6683,0.7198,0.848,0.8344,0.8031,0.8905,0.8563,0.7774,0,0.8177,0.8143,0.806,0.7503,0.7626,0.8317,0.8088,0.7207,0.804,0.7938,0.8027,0.6677,0.6924,0.7851,0.7154,0.6584,0.5943,0.6837,0.7704,0.6973,0.6296,0.6607,0.7231,0.5996,0.5774,0.651,0.7985,0.7611,0.7318,0.8271,0.8028,0.7185
0.0723,34,340,0.1557,0.6945,0.7807,0.7881,nan,0.8142,0.7941,0.8237,0.7511,0.7073,0.8734,0.8676,0.8159,0.8608,0.7947,0.8292,0.7155,0.77,0.7827,0.807,0.7627,0.6978,0.7275,0.8387,0.7683,0.7554,0.7509,0.8002,0.6639,0.7231,0.7017,0.835,0.7678,0.7631,0.8388,0.8231,0.7584,0,0.7804,0.7599,0.7532,0.6917,0.6949,0.8422,0.822,0.7555,0.7997,0.7583,0.78,0.6642,0.6893,0.7639,0.7098,0.6723,0.6146,0.6639,0.7536,0.6897,0.6526,0.6674,0.7148,0.5882,0.5982,0.6309,0.7618,0.6946,0.6893,0.785,0.772,0.7044
0.0698,36,360,0.1523,0.7141,0.8005,0.8103,nan,0.8578,0.8162,0.8537,0.8157,0.7768,0.8899,0.8776,0.7987,0.8764,0.8345,0.8257,0.7107,0.8293,0.859,0.8323,0.6399,0.6852,0.7657,0.8407,0.8026,0.7116,0.759,0.8231,0.7489,0.6981,0.7221,0.8288,0.8048,0.8054,0.852,0.8476,0.8261,0,0.8173,0.799,0.8041,0.7614,0.7533,0.8548,0.8267,0.732,0.8152,0.7863,0.7887,0.6712,0.729,0.8003,0.6995,0.5925,0.6193,0.6904,0.7656,0.711,0.6409,0.669,0.7318,0.6404,0.5937,0.6535,0.7776,0.7466,0.7242,0.8047,0.8067,0.7573
0.0634,38,380,0.1554,0.7284,0.8209,0.8313,nan,0.8666,0.8745,0.8763,0.8678,0.8072,0.9112,0.9292,0.6655,0.8992,0.8717,0.8572,0.7633,0.8456,0.8279,0.863,0.7138,0.7027,0.8109,0.8767,0.8415,0.7641,0.7846,0.8168,0.7206,0.7123,0.7586,0.8802,0.816,0.8257,0.8813,0.8567,0.781,0,0.8428,0.8406,0.8132,0.7981,0.7843,0.8678,0.8113,0.6434,0.8351,0.8149,0.8119,0.7135,0.7373,0.7971,0.744,0.6618,0.6258,0.7111,0.8028,0.7348,0.6718,0.6903,0.7266,0.6194,0.6041,0.6767,0.8105,0.7543,0.7418,0.8154,0.8005,0.7354
0.0713,40,400,0.1525,0.7218,0.8123,0.8201,nan,0.8704,0.8448,0.844,0.8238,0.7767,0.8975,0.8755,0.7267,0.8803,0.8616,0.849,0.7422,0.7974,0.8279,0.8353,0.7166,0.7667,0.7983,0.8684,0.8377,0.742,0.7794,0.8101,0.7151,0.7616,0.7408,0.8664,0.8062,0.818,0.8802,0.8365,0.795,0,0.8312,0.8095,0.783,0.7623,0.7541,0.8481,0.8065,0.699,0.8168,0.802,0.7944,0.6918,0.7074,0.7924,0.7342,0.659,0.6746,0.7122,0.7795,0.7377,0.6698,0.6866,0.7207,0.6159,0.6364,0.6663,0.789,0.7472,0.7391,0.814,0.7936,0.7434
0.0643,42,420,0.1553,0.7148,0.8042,0.8125,nan,0.8499,0.8216,0.8582,0.8145,0.7421,0.9148,0.9039,0.7032,0.8476,0.8359,0.8361,0.6862,0.8163,0.832,0.8711,0.6857,0.7295,0.7706,0.8683,0.859,0.7374,0.7249,0.7984,0.7706,0.7609,0.7409,0.8611,0.8164,0.8064,0.8565,0.8488,0.765,0,0.8118,0.7943,0.7992,0.7484,0.7254,0.855,0.8101,0.6735,0.797,0.7858,0.7818,0.6519,0.7299,0.7955,0.7341,0.6359,0.6543,0.7031,0.7862,0.7336,0.6665,0.6664,0.7158,0.6325,0.6354,0.6694,0.7977,0.7527,0.7212,0.8083,0.8006,0.715
0.0736,44,440,0.1546,0.7082,0.7925,0.8019,nan,0.8349,0.8097,0.8161,0.7697,0.7851,0.8876,0.8887,0.7442,0.8519,0.8535,0.8236,0.703,0.8141,0.8471,0.8394,0.6563,0.7174,0.759,0.8509,0.808,0.7455,0.7675,0.7895,0.7165,0.6985,0.7191,0.8403,0.7541,0.7865,0.8846,0.8307,0.7672,0,0.7948,0.7605,0.7549,0.7271,0.7573,0.8537,0.8262,0.7135,0.7982,0.7927,0.7788,0.6656,0.729,0.8111,0.7311,0.6179,0.6431,0.6932,0.7715,0.7216,0.6715,0.6895,0.7092,0.5991,0.5982,0.6453,0.7688,0.7157,0.7171,0.8114,0.787,0.7169
0.061,46,460,0.1509,0.7221,0.8067,0.8162,nan,0.845,0.8356,0.8496,0.794,0.7847,0.8876,0.9201,0.7856,0.8733,0.8131,0.8391,0.7294,0.8558,0.8497,0.8405,0.7322,0.6868,0.7573,0.8596,0.7881,0.7321,0.7653,0.8078,0.7268,0.6762,0.7257,0.8676,0.8073,0.8238,0.8874,0.8516,0.817,0,0.8206,0.8087,0.8025,0.7576,0.7481,0.8499,0.8369,0.7417,0.8124,0.7749,0.7963,0.6909,0.7448,0.8059,0.7367,0.6721,0.6221,0.6917,0.7695,0.7114,0.6621,0.6866,0.7227,0.6101,0.5882,0.6541,0.8083,0.759,0.7457,0.8294,0.8115,0.7571
0.0536,48,480,0.1521,0.7308,0.8173,0.8245,nan,0.859,0.8676,0.8617,0.8409,0.816,0.9215,0.8884,0.7822,0.8956,0.8719,0.8377,0.7602,0.8218,0.8316,0.856,0.7428,0.7031,0.7863,0.8546,0.8231,0.7696,0.7685,0.8087,0.7229,0.7263,0.7567,0.8379,0.8288,0.843,0.8626,0.8406,0.767,0,0.8344,0.836,0.8057,0.7941,0.7925,0.8777,0.8388,0.742,0.8293,0.7991,0.7835,0.7108,0.7494,0.8075,0.7551,0.6756,0.6385,0.7085,0.7825,0.744,0.6904,0.6901,0.7235,0.6201,0.6148,0.6691,0.7887,0.764,0.7343,0.8044,0.7917,0.7213
0.076,50,500,0.152,0.7336,0.8204,0.8296,nan,0.8641,0.8672,0.8854,0.8506,0.8172,0.8983,0.9032,0.7429,0.8765,0.8368,0.8308,0.7443,0.8053,0.8632,0.8471,0.7114,0.7605,0.7863,0.8809,0.8453,0.7561,0.7871,0.8335,0.7037,0.7512,0.7384,0.8678,0.8357,0.7978,0.8895,0.8628,0.8111,0,0.8336,0.8387,0.8238,0.7964,0.7937,0.8658,0.8315,0.7116,0.8165,0.7868,0.79,0.698,0.7288,0.8131,0.7442,0.6538,0.6699,0.7143,0.7932,0.7474,0.6859,0.7028,0.7366,0.6159,0.6315,0.6707,0.8037,0.7708,0.734,0.8311,0.8219,0.7517
0.0562,52,520,0.1628,0.715,0.8054,0.8084,nan,0.8622,0.843,0.8413,0.8382,0.8163,0.8398,0.7818,0.8451,0.8844,0.8439,0.8295,0.6901,0.7747,0.8257,0.8079,0.7877,0.7749,0.7851,0.8438,0.8018,0.719,0.7503,0.781,0.7472,0.7554,0.7455,0.8367,0.7893,0.82,0.8742,0.8448,0.7913,0,0.8255,0.8175,0.8066,0.7834,0.781,0.8205,0.7279,0.6485,0.8254,0.8013,0.782,0.6641,0.7145,0.7787,0.7157,0.6751,0.6732,0.7057,0.7626,0.7167,0.6539,0.671,0.7056,0.6244,0.6314,0.6625,0.7731,0.7407,0.7382,0.8232,0.8138,0.7333
0.0682,54,540,0.1544,0.7273,0.8147,0.8239,nan,0.8486,0.8597,0.8338,0.806,0.7833,0.9164,0.8783,0.6689,0.8977,0.8613,0.8336,0.7496,0.8304,0.865,0.8593,0.6824,0.7622,0.7868,0.8478,0.8315,0.7794,0.7738,0.8061,0.7577,0.7475,0.7457,0.8716,0.8245,0.834,0.8787,0.8517,0.7978,0,0.8216,0.8116,0.7853,0.7635,0.766,0.8542,0.7961,0.6473,0.8352,0.8144,0.7992,0.7083,0.751,0.818,0.7399,0.6359,0.6697,0.707,0.7719,0.7462,0.6891,0.6863,0.7279,0.6595,0.6366,0.6769,0.8054,0.7596,0.7396,0.822,0.8085,0.7471
0.0478,56,560,0.1564,0.7253,0.8132,0.8223,nan,0.8486,0.853,0.8762,0.819,0.762,0.9052,0.8812,0.6975,0.9016,0.8451,0.8575,0.7538,0.8509,0.8625,0.8264,0.7102,0.7573,0.7668,0.8688,0.8337,0.7683,0.7906,0.7989,0.7494,0.75,0.7366,0.8623,0.7946,0.7657,0.8953,0.8399,0.795,0,0.8231,0.8223,0.8105,0.7623,0.7461,0.861,0.8095,0.6731,0.8305,0.8006,0.812,0.7162,0.7677,0.8179,0.7354,0.653,0.6614,0.7003,0.7871,0.7482,0.6905,0.6961,0.72,0.6325,0.6232,0.6626,0.7738,0.7204,0.7057,0.8244,0.801,0.747
0.0512,58,580,0.1546,0.7298,0.815,0.8235,nan,0.8586,0.8815,0.868,0.8305,0.8242,0.9193,0.8879,0.7123,0.8771,0.863,0.8356,0.7117,0.8269,0.8482,0.8489,0.6943,0.7425,0.7987,0.877,0.8386,0.7397,0.7332,0.8208,0.714,0.7405,0.7508,0.8443,0.8103,0.8435,0.8862,0.8513,0.7999,0,0.8338,0.8388,0.8168,0.7895,0.7902,0.8661,0.8277,0.6841,0.8246,0.8068,0.7864,0.6815,0.7506,0.8171,0.7428,0.6401,0.6576,0.7185,0.7898,0.7393,0.6714,0.6679,0.7291,0.6156,0.6306,0.6758,0.7821,0.7577,0.7551,0.8339,0.8141,0.7489
0.0509,60,600,0.1545,0.7353,0.822,0.8302,nan,0.8592,0.872,0.8776,0.8462,0.8195,0.922,0.8871,0.744,0.8924,0.8589,0.8449,0.7433,0.8409,0.8667,0.8295,0.7048,0.75,0.7998,0.8735,0.8245,0.7994,0.7692,0.8092,0.7337,0.7343,0.7453,0.8745,0.7983,0.8337,0.8995,0.8459,0.8055,0,0.8356,0.8372,0.8225,0.7993,0.7965,0.8741,0.8249,0.7122,0.8357,0.8147,0.8049,0.7064,0.7649,0.8106,0.7248,0.6528,0.6648,0.7211,0.7911,0.7476,0.7076,0.6945,0.7237,0.6179,0.6177,0.6697,0.7939,0.7466,0.7526,0.8392,0.8083,0.7503
0.0435,62,620,0.1551,0.7266,0.8095,0.8188,nan,0.8571,0.8378,0.8806,0.8244,0.7731,0.8974,0.8916,0.7253,0.8926,0.8779,0.8292,0.7394,0.8426,0.851,0.8405,0.6897,0.7349,0.7807,0.8512,0.8099,0.7835,0.7475,0.8269,0.7194,0.7203,0.7187,0.8435,0.7898,0.8434,0.8713,0.8395,0.7721,0,0.8293,0.817,0.8173,0.77,0.7571,0.8613,0.8173,0.6964,0.8389,0.8144,0.7866,0.7,0.762,0.8155,0.7395,0.6413,0.6535,0.7092,0.779,0.7303,0.6927,0.6821,0.7387,0.6235,0.6178,0.6549,0.786,0.7458,0.7499,0.8195,0.8017,0.7275
0.05,64,640,0.1608,0.7221,0.8067,0.8152,nan,0.8488,0.8286,0.8781,0.7988,0.7907,0.9218,0.8732,0.7222,0.8763,0.8504,0.8118,0.7154,0.7931,0.8343,0.8289,0.6667,0.7748,0.7844,0.8624,0.826,0.7703,0.7547,0.8016,0.7299,0.7529,0.7077,0.8586,0.8032,0.8272,0.8605,0.8591,0.8017,0,0.8249,0.8068,0.8109,0.756,0.7735,0.8627,0.814,0.6892,0.8176,0.7994,0.7727,0.677,0.7346,0.8053,0.732,0.609,0.6701,0.7123,0.7792,0.7336,0.6902,0.6858,0.7224,0.6134,0.6299,0.6523,0.7845,0.7433,0.7416,0.8153,0.8225,0.7489
0.0459,66,660,0.1576,0.7261,0.812,0.8214,nan,0.8631,0.8474,0.8776,0.7995,0.8026,0.9172,0.8583,0.6941,0.8725,0.8579,0.8357,0.6982,0.8411,0.856,0.845,0.6744,0.739,0.7989,0.8662,0.8403,0.7824,0.7822,0.8095,0.7108,0.7288,0.771,0.8529,0.812,0.8185,0.8926,0.8564,0.7811,0,0.8341,0.8175,0.808,0.7581,0.7869,0.8494,0.7878,0.6688,0.823,0.8118,0.7919,0.6771,0.7617,0.8151,0.7318,0.6268,0.6483,0.7184,0.7954,0.7654,0.7075,0.6965,0.7241,0.616,0.6164,0.6757,0.7775,0.7471,0.744,0.8312,0.8088,0.7404
0.0439,68,680,0.1598,0.7224,0.8018,0.8101,nan,0.8218,0.8233,0.8531,0.8371,0.7939,0.9067,0.8828,0.734,0.8563,0.8277,0.8418,0.7215,0.8087,0.8318,0.8512,0.726,0.7475,0.7617,0.8591,0.8351,0.7281,0.7451,0.804,0.6741,0.7338,0.7377,0.8337,0.7935,0.799,0.86,0.8537,0.7724,0,0.8019,0.7945,0.8109,0.7917,0.7781,0.8646,0.8215,0.702,0.8158,0.796,0.7933,0.6862,0.7495,0.8034,0.7442,0.6638,0.664,0.7041,0.7812,0.7349,0.6623,0.6755,0.7208,0.5887,0.6181,0.6632,0.7688,0.745,0.7438,0.8133,0.8124,0.725
0.0429,70,700,0.1567,0.7318,0.8169,0.8234,nan,0.8528,0.8642,0.8606,0.8186,0.7842,0.9068,0.8902,0.7569,0.8653,0.8556,0.86,0.7249,0.8386,0.8292,0.8274,0.7651,0.7225,0.7881,0.883,0.8518,0.7644,0.7596,0.8094,0.7457,0.7419,0.7706,0.8486,0.8048,0.8377,0.8595,0.8543,0.7989,0,0.8324,0.8198,0.7989,0.7664,0.7683,0.8598,0.8278,0.7256,0.8254,0.8086,0.8097,0.6964,0.7582,0.7994,0.7423,0.6893,0.6474,0.7181,0.8038,0.7661,0.6991,0.6877,0.7223,0.6216,0.6318,0.682,0.7805,0.7464,0.7383,0.8097,0.8156,0.7518
0.0451,72,720,0.1599,0.7259,0.8108,0.818,nan,0.8575,0.8445,0.8569,0.7949,0.7508,0.9182,0.8857,0.7585,0.8817,0.8459,0.8278,0.7283,0.8307,0.8325,0.8339,0.7285,0.7605,0.7848,0.875,0.835,0.7597,0.7324,0.8046,0.7325,0.727,0.756,0.8507,0.8074,0.813,0.8853,0.843,0.8029,0,0.8328,0.8076,0.784,0.7446,0.7429,0.8682,0.8291,0.7225,0.8281,0.8035,0.7867,0.6942,0.7558,0.8016,0.7417,0.6661,0.6629,0.7118,0.7904,0.7454,0.6875,0.6717,0.7177,0.6107,0.6183,0.6711,0.7747,0.7439,0.747,0.8309,0.8111,0.7506
0.0438,74,740,0.1589,0.7383,0.8252,0.8335,nan,0.8535,0.851,0.8886,0.7967,0.8137,0.9233,0.8862,0.7682,0.8849,0.8755,0.855,0.748,0.8585,0.8498,0.8561,0.7181,0.765,0.7855,0.8884,0.8541,0.7811,0.7735,0.8343,0.6991,0.757,0.7538,0.8659,0.8262,0.8308,0.9056,0.8575,0.8012,0,0.8326,0.8242,0.8009,0.7576,0.7948,0.8759,0.8293,0.7336,0.834,0.8217,0.806,0.714,0.7731,0.8162,0.7444,0.6609,0.6723,0.718,0.7997,0.7656,0.707,0.6972,0.7367,0.6091,0.6385,0.6746,0.7887,0.7608,0.7612,0.8432,0.8193,0.7545
0.0458,76,760,0.1601,0.7269,0.8121,0.8214,nan,0.8496,0.8397,0.8527,0.8475,0.7941,0.922,0.8976,0.7672,0.8544,0.8667,0.8357,0.7116,0.8245,0.8729,0.8328,0.6342,0.7355,0.7903,0.8746,0.8412,0.7663,0.7404,0.8199,0.6719,0.7317,0.7733,0.8619,0.8197,0.8283,0.8852,0.8562,0.7875,0,0.8262,0.809,0.8018,0.799,0.7828,0.8765,0.8352,0.7289,0.8138,0.8143,0.7966,0.6834,0.7534,0.8096,0.7147,0.5933,0.6504,0.7155,0.7886,0.7423,0.6852,0.6693,0.7205,0.5887,0.6236,0.6879,0.7929,0.7577,0.7455,0.823,0.8136,0.7431
